competitionId,teamId,teamMarket,teamName,orbPct,drbPct,astPct,pace,ortg,drtg,ftaRate,tovPct,tovPctAgst,stlPct,blkPct
33533,104159,SFA,Lumberjacks,0.32022,0.69028,0.55594,69.723,106.69488,98.38614,0.37296,0.1876,0.21959,0.12455,0.0758
27168,104378,UT Arlington,Mavericks,0.3628,0.68713,0.548,65.575,98.01464,95.75028,0.36429,0.18709,0.19704,0.11556,0.11984
30629,104195,Sam Houston,Bearkats,0.31422,0.75223,0.55083,66.393,103.30743,94.66817,0.24395,0.15888,0.19474,0.11515,0.08124
38409,103539,Utah Tech,Trailblazers ,0.27993,0.68597,0.51605,67.906,102.47238,111.49706,0.33124,0.16019,0.15173,0.09467,0.08198
41097,103260,Abilene Christian,Wildcats,0.32597,0.71822,0.54658,67.873,103.23454,106.25908,0.40272,0.17892,0.21362,0.14272,0.08103
27249,103716,Idaho,Vandals,0.3254,0.67963,0.60223,63.315,109.15715,106.4021,0.41194,0.18076,0.14289,0.07357,0.10878
33533,103539,Utah Tech,Trailblazers ,0.29342,0.73694,0.52415,69.551,107.88784,104.64472,0.43674,0.18788,0.18677,0.09451,0.06379
33533,103407,California Baptist,Lancers,0.3042,0.74892,0.58076,64.781,106.36233,100.0948,0.31191,0.14936,0.14566,0.06797,0.0822
36046,103407,California Baptist,Lancers,0.32946,0.76036,0.48819,64.457,103.6774,102.51091,0.37695,0.1533,0.13818,0.06205,0.06454
36046,104159,SFA,Lumberjacks,0.34413,0.70186,0.49706,69.992,104.65382,99.97988,0.42116,0.19132,0.20744,0.12543,0.08252
27249,103631,Fresno St.,Bulldogs,0.29915,0.66315,0.50067,61.959,103.38989,103.91399,0.37033,0.14259,0.19136,0.11189,0.09288
27168,103830,Louisiana Tech,Bulldogs,0.34496,0.66826,0.52975,69.308,104.8176,91.28043,0.34512,0.14873,0.21079,0.13055,0.12272
27168,104323,Texas St.,Bobcats,0.27344,0.66555,0.49819,70.345,99.89539,106.56064,0.36829,0.16975,0.17982,0.10615,0.07852
30629,103407,California Baptist,Lancers,0.28921,0.7344,0.65223,67.999,103.51362,98.42844,0.3654,0.17644,0.15637,0.07588,0.07051
30629,103985,New Mexico St.,Aggies,0.33155,0.74818,0.5374,66.759,108.15802,96.43797,0.341,0.17857,0.15518,0.07471,0.1218
36046,104378,UT Arlington,Mavericks,0.33978,0.70871,0.60909,70.335,108.90815,103.82521,0.37708,0.18549,0.16725,0.10063,0.10236
38409,103659,Grand Canyon,Lopes,0.3262,0.71141,0.51766,70.784,110.16393,97.78549,0.43913,0.15886,0.17998,0.12874,0.13198
33533,104309,Tarleton St.,Texans,0.28212,0.71145,0.51594,67.766,105.38585,99.44012,0.44807,0.15938,0.23321,0.14203,0.09917
33533,104195,Sam Houston,Bearkats,0.33681,0.75747,0.51454,65.556,109.29588,89.74376,0.29322,0.16767,0.22283,0.12466,0.08361
38409,104391,Utah Valley,Wolverines,0.31512,0.73751,0.58224,68.1,110.78544,99.55255,0.41376,0.15271,0.1513,0.09705,0.14232
27043,103716,Idaho,Vandals,0.3113,0.69105,0.46098,65.556,109.20827,112.53644,0.45147,0.1479,0.13424,0.06457,0.04438
36046,103260,Abilene Christian,Wildcats,0.26575,0.70313,0.50058,69.807,102.18277,104.18309,0.38098,0.15758,0.17967,0.10937,0.05496
41097,104391,Utah Valley,Wolverines,0.36519,0.69601,0.6319,68.62,115.48249,99.11823,0.363,0.17136,0.189,0.13657,0.14711
41097,103407,California Baptist,Lancers,0.3748,0.72831,0.39862,66.112,108.68653,101.11807,0.35923,0.15092,0.14946,0.08201,0.07348
27249,103830,Louisiana Tech,Bulldogs,0.31329,0.6641,0.51943,67.069,101.90613,101.77648,0.30815,0.16209,0.18829,0.09932,0.09335
41097,103539,Utah Tech,Trailblazers ,0.28597,0.66908,0.52922,67.506,110.94717,108.22871,0.31976,0.1562,0.15053,0.10356,0.07832
36046,103659,Grand Canyon,Lopes,0.34448,0.69924,0.45887,68.401,115.25017,97.64424,0.4497,0.15166,0.17243,0.12014,0.14275
36046,104309,Tarleton St.,Texans,0.31193,0.67977,0.50683,67.033,110.12716,102.01521,0.30846,0.14261,0.18256,0.13131,0.0996
27168,103985,New Mexico St.,Aggies,0.37337,0.70546,0.48197,64.151,104.14182,96.18194,0.46225,0.18701,0.1636,0.08806,0.14119
27249,103979,Nevada,Wolf Pack,0.34891,0.6996,0.53444,64.695,107.15571,99.14407,0.44468,0.17696,0.16448,0.08593,0.12661
27249,103985,New Mexico St.,Aggies,0.41079,0.70493,0.5134,69.64,111.77585,97.74424,0.51736,0.17513,0.18037,0.09749,0.10799
33533,103659,Grand Canyon,Lopes,0.30847,0.70697,0.48446,65.606,113.78194,101.79825,0.35778,0.15548,0.13839,0.07444,0.0811
27043,103985,New Mexico St.,Aggies,0.37511,0.66764,0.50641,65.585,116.15293,101.23036,0.53545,0.16166,0.13846,0.07102,0.13486
30629,103260,Abilene Christian,Wildcats,0.2928,0.70317,0.56871,70.238,107.69662,94.86352,0.38212,0.15227,0.25877,0.15241,0.06315
