isOffense,competitionId,teamId,teamMarket,teamName,pfPct,freqChncTr,atr2FgPct,atr2FgaFreq,paint2FgPct,paint2FgaFreq,mid2FgPct,mid2FgaFreq,lane2FgaFreq,lane2FgPct,fga3Rate,fg3Pct
True,30629,104041,Ohio St.,Buckeyes,0.2555,0.1076,0.6947,0.2391,0.4799,0.2,0.3902,0.1649,0.4391,0.5969,0.39598,0.3643
False,30629,104041,Ohio St.,Buckeyes,0.2681,0.1263,0.5721,0.3204,0.3502,0.1704,0.3381,0.1495,0.4909,0.4951,0.35968,0.33782
True,30629,104155,Rutgers,Scarlet Knights,0.2411,0.1488,0.6673,0.2899,0.4106,0.1929,0.3244,0.201,0.4828,0.5647,0.31627,0.33901
False,30629,104155,Rutgers,Scarlet Knights,0.2325,0.1291,0.6619,0.2701,0.3601,0.1859,0.2594,0.1472,0.456,0.5388,0.39679,0.33891
True,30629,103871,Maryland,Terrapins,0.2276,0.1503,0.6287,0.2982,0.3906,0.1979,0.3554,0.1327,0.4962,0.5337,0.37116,0.32644
False,30629,103871,Maryland,Terrapins,0.2712,0.1359,0.6289,0.2682,0.3732,0.1839,0.3586,0.1592,0.4521,0.5249,0.38869,0.3558
False,30629,104500,Wisconsin,Badgers,0.2882,0.1274,0.6307,0.2578,0.42,0.2241,0.3783,0.1824,0.4818,0.5327,0.33583,0.32484
True,30629,104500,Wisconsin,Badgers,0.2558,0.1014,0.6528,0.2491,0.4176,0.2232,0.3344,0.1673,0.4723,0.5417,0.36044,0.30603
True,30629,103720,Illinois,Fighting Illini,0.2432,0.1211,0.6388,0.3049,0.3851,0.1538,0.3575,0.1148,0.4587,0.5538,0.42649,0.35932
False,30629,103720,Illinois,Fighting Illini,0.2694,0.1525,0.626,0.257,0.3498,0.2256,0.3539,0.2215,0.4825,0.4969,0.2959,0.31966
False,30629,103977,Nebraska,Huskers,0.2521,0.1378,0.6673,0.2676,0.443,0.1864,0.309,0.1424,0.454,0.5752,0.40356,0.34681
