key,tables,isKeeper,label1,label2,label3,label4,shortDesc,sign,unit,tipTitle,mainTip,teamTip,playerTip,isLabeled
sht3FgPct,"pgps,taps,paps,tgps",TRUE,FG%,SHT3 FG%,Short Distance 3s FG%,Short Distance 3s FG%,NA,pos,pct,Short Distance 3s Field Goal Percentage,Field goal percentage on under 25-foot 3-pointers.,NA,NA,TRUE
sht3Fga,"pgps,taps,paps,tgps",TRUE,FGA,SHT3 FGA,Short Distance 3s FGA,Short Distance 3s FGA,NA,pos,int,Short Distance 3s Field Goal Attempts,Field goal attempts on under 25-foot 3-pointers.,NA,NA,TRUE
sht3FgaFreq,"pgps,taps,paps,tgps",TRUE,FGA%,SHT3 FGA%,Short Distance 3s FGA%,Short Distance 3s FGA%,NA,pos,pct,Short Distance 3s Field Goal Attempt Frequency,Percentage of shots taken as under 25-foot 3-pointers.,NA,NA,TRUE
sht3FgaP100,taps,TRUE,FGA/100,SHT3 FGA/100,Short Distance 3s FGA / 100 Poss,Short Distance 3s FGA / 100 Poss,NA,pos,num,Short Distance 3s Field Goal Attempts / 100 Possessions,Field goal attempts on under 25-foot 3-pointers per 100 possessions played.,NA,NA,TRUE
sht3FgaP40,"taps,paps",TRUE,FGA/40,SHT3 FGA/40,Short Distance 3s FGA / 40 Mins,Short Distance 3s FGA / 40 Mins,NA,pos,num,Short Distance 3s Field Goal Attempts / 40 Minutes,Field goal attempts on under 25-foot 3-pointers per 40 minutes played.,NA,NA,TRUE
sht3FgaPg,"taps,paps",TRUE,FGA/G,SHT3 FGA/G,Short Distance 3s FGA / Game,Short Distance 3s FGA / Game,NA,pos,num,Short Distance 3s Field Goal Attempts / Game,Field goal attempts on under 25-foot 3-pointers per game.,NA,NA,TRUE
sht3Fgm,"pgps,taps,paps,tgps",TRUE,FGM,SHT3 FGM,Short Distance 3s FGM,Short Distance 3s FGM,NA,pos,int,Short Distance 3s Field Goals Made,Field goals made on under 25-foot 3-pointers.,NA,NA,TRUE
slp2FgPct,"pgps,taps,paps,tgps",TRUE,FG%,SLP2 FG%,Short Left Paint 2s FG%,Short Left Paint 2s FG%,NA,pos,pct,Short Left Paint 2s Field Goal Percentage,Field goal percentage on short left paint 2-pointers.,NA,NA,TRUE
slp2Fga,"pgps,taps,paps,tgps",TRUE,FGA,SLP2 FGA,Short Left Paint 2s FGA,Short Left Paint 2s FGA,NA,pos,int,Short Left Paint 2s Field Goal Attempts,Field goal attempts on short left paint 2-pointers.,NA,NA,TRUE
slp2FgaFreq,"pgps,taps,paps,tgps",TRUE,FGA%,SLP2 FGA%,Short Left Paint 2s FGA%,Short Left Paint 2s FGA%,NA,pos,pct,Short Left Paint 2s Field Goal Attempt Frequency,Percentage of shots taken as short left paint 2-pointers.,NA,NA,TRUE
slp2FgaP100,taps,TRUE,FGA/100,SLP2 FGA/100,Short Left Paint 2s FGA / 100 Poss,Short Left Paint 2s FGA / 100 Poss,NA,pos,num,Short Left Paint 2s Field Goal Attempts / 100 Possessions,Field goal attempts on short left paint 2-pointers per 100 possessions played.,NA,NA,TRUE
slp2FgaP40,"taps,paps",TRUE,FGA/40,SLP2 FGA/40,Short Left Paint 2s FGA / 40 Mins,Short Left Paint 2s FGA / 40 Mins,NA,pos,num,Short Left Paint 2s Field Goal Attempts / 40 Minutes,Field goal attempts on short left paint 2-pointers per 40 minutes played.,NA,NA,TRUE
slp2FgaPg,"taps,paps",TRUE,FGA/G,SLP2 FGA/G,Short Left Paint 2s FGA / Game,Short Left Paint 2s FGA / Game,NA,pos,num,Short Left Paint 2s Field Goal Attempts / Game,Field goal attempts on short left paint 2-pointers per game.,NA,NA,TRUE
slp2Fgm,"pgps,taps,paps,tgps",TRUE,FGM,SLP2 FGM,Short Left Paint 2s FGM,Short Left Paint 2s FGM,NA,pos,int,Short Left Paint 2s Field Goals Made,Field goals made on short left paint 2-pointers.,NA,NA,TRUE
sos,tas,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
srp2FgPct,"pgps,taps,paps,tgps",TRUE,FG%,SRP2 FG%,Short Right Paint 2s FG%,Short Right Paint 2s FG%,NA,pos,pct,Short Right Paint 2s Field Goal Percentage,Field goal percentage on short right paint 2-pointers.,NA,NA,TRUE
srp2Fga,"pgps,taps,paps,tgps",TRUE,FGA,SRP2 FGA,Short Right Paint 2s FGA,Short Right Paint 2s FGA,NA,pos,int,Short Right Paint 2s Field Goal Attempts,Field goal attempts on short right paint 2-pointers.,NA,NA,TRUE
